Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,Villa Gesell,4.0,1476.0,11.0,4267.0,12.0,3801.0
Buenos Aires,Ramallo,5.0,1929.0,11.0,4707.0,24.0,4088.0
Buenos Aires,Laprida,9.0,532.0,11.0,1366.0,16.0,1152.0
Buenos Aires,Dolores,9.0,1398.0,11.0,3369.0,22.0,2998.0
Buenos Aires,Leandro N. Alem,9.0,739.0,11.0,1838.0,15.0,1700.0
Buenos Aires,General Belgrano,9.0,899.0,11.0,2272.0,16.0,1893.0
Buenos Aires,Alberti,8.0,495.0,10.0,1378.0,13.0,1198.0
Buenos Aires,Capitan Sarmiento,7.0,625.0,10.0,1713.0,12.0,1441.0
Buenos Aires,Maipu,5.0,503.0,9.0,1234.0,12.0,995.0
Buenos Aires,Punta Indio,7.0,535.0,9.0,1384.0,14.0,1047.0
Buenos Aires,General Pinto,6.0,585.0,9.0,1321.0,13.0,1175.0
Buenos Aires,Pila,5.0,248.0,8.0,592.0,15.0,441.0
Buenos Aires,Florentino Ameghino,5.0,470.0,8.0,1275.0,9.0,1107.0
Buenos Aires,Castelli,6.0,416.0,7.0,1013.0,17.0,904.0
Buenos Aires,General Lavalle,6.0,250.0,7.0,636.0,9.0,493.0
Buenos Aires,San Cayetano,3.0,314.0,7.0,865.0,10.0,747.0
Buenos Aires,Hipolito Yrigoyen,3.0,435.0,6.0,1110.0,8.0,965.0
Buenos Aires,Tres Lomas,6.0,380.0,6.0,989.0,7.0,831.0
Buenos Aires,Salliquelo,5.0,366.0,5.0,963.0,5.0,846.0
Buenos Aires,Pellegrini,6.0,373.0,5.0,831.0,6.0,610.0
Buenos Aires,General Guido,3.0,137.0,4.0,338.0,14.0,304.0
Buenos Aires,Tordillo,2.0,136.0,4.0,298.0,5.0,231.0
Buenos Aires,Lezama,2.0,255.0,4.0,639.0,11.0,570.0
Buenos Aires,Monte Hermoso,4.0,317.0,4.0,942.0,3.0,782.0
Catamarca,Capital,2.0,8055.0,49.0,20132.0,46.0,17544.0
Catamarca,Belen,0.0,1434.0,43.0,3513.0,57.0,3350.0
Catamarca,Tinogasta,0.0,1134.0,30.0,2784.0,39.0,2684.0
Catamarca,La Paz,0.0,1261.0,28.0,3146.0,51.0,2844.0
Catamarca,Santa Maria,0.0,1238.0,27.0,2998.0,37.0,2619.0
Catamarca,Capayan,0.0,898.0,26.0,2244.0,29.0,2043.0
Catamarca,El Alto,0.0,204.0,19.0,517.0,27.0,485.0
Catamarca,Andalgala,0.0,870.0,17.0,2037.0,26.0,2051.0
Catamarca,Valle Viejo,0.0,1520.0,15.0,3862.0,18.0,3346.0
Catamarca,Paclin,0.0,172.0,15.0,512.0,13.0,450.0
Catamarca,Poman,1.0,554.0,13.0,1480.0,20.0,1321.0
Catamarca,Ambato,0.0,218.0,12.0,439.0,18.0,401.0
Catamarca,Fray Mamerto Esquiu,0.0,654.0,10.0,1651.0,10.0,1397.0
Catamarca,Ancasti,0.0,137.0,9.0,334.0,28.0,322.0
Catamarca,Santa Rosa,0.0,625.0,7.0,1476.0,25.0,1361.0
Catamarca,Antofagasta De La Sierra,0.0,74.0,4.0,241.0,5.0,174.0
Chaco,San Fernando,48.0,18040.0,169.0,45514.0,140.0,36791.0
Chaco,General Guemes,1.0,3925.0,100.0,9486.0,235.0,7565.0
Chaco,Libertador General San Martin,2.0,3634.0,56.0,8406.0,100.0,6903.0
Chaco,Comandante Fernandez,2.0,4754.0,52.0,12218.0,67.0,10680.0
Chaco,Mayor Luis J. Fontana,1.0,3161.0,39.0,7600.0,47.0,5872.0
Chaco,Almirante Brown,1.0,2184.0,35.0,5089.0,62.0,4604.0
Chaco,Quitilipi,1.0,1678.0,31.0,3819.0,54.0,3539.0
Chaco,O'Higgins,0.0,1099.0,28.0,3018.0,34.0,2575.0
Chaco,Chacabuco,0.0,1714.0,26.0,4114.0,34.0,3194.0
Chaco,9 De Julio,0.0,1620.0,26.0,3572.0,44.0,3053.0
Chaco,Maipu,1.0,1471.0,25.0,3468.0,57.0,2776.0
Chaco,Bermejo,4.0,1344.0,23.0,3431.0,31.0,2793.0
Chaco,12 De Octubre,1.0,1126.0,23.0,2851.0,31.0,2323.0
Chaco,25 De Mayo,0.0,1763.0,22.0,4543.0,40.0,3788.0
Chaco,Independencia,0.0,1262.0,16.0,3020.0,28.0,2776.0
Chaco,San Lorenzo,0.0,929.0,15.0,2119.0,31.0,1694.0
Chaco,Fray Justo Santa Maria De Oro,0.0,522.0,15.0,1305.0,19.0,1039.0
