ID_CC,Nombre,Capacidad,ID_DEPTO
20,Centro Cultural Che Pugliese,s/d,112.0
85,Centro Cultural Chilavert Recupera,s/d,112.0
756,Centro Cultural Comodoro Rivadavia,s/d,149.0
956,Centro Cultural Comunal María Teresa,s/d,191.0
63,Centro Cultural Comunarte,s/d,112.0
892,Centro Cultural Comunidad Danzalibre,200.0,200.0
685,Centro Cultural Cooperativo Casa Azul,s/d,115.0
874,Centro Cultural Cotesma,s/d,260.0
653,Centro Cultural Córdoba,200.0,76.0
482,Centro Cultural C’est la Vie ,120.0,257.0
264,Centro Cultural De Arte Y Movimiento - Baila Ba!,200.0,112.0
121,Centro Cultural De La Ciencia - C3,s/d,112.0
152,Centro Cultural De La India Güngur,s/d,112.0
906,Centro Cultural De Los Pueblos Originarios,s/d,184.0
1035,Centro Cultural Del Bicentenario,200.0,84.0
866,Centro Cultural Desafios,297.0,123.0
829,Centro Cultural Dese el Ferro ,s/d,220.0
26,Centro Cultural Din,s/d,112.0
661,Centro Cultural Discepolín,s/d,76.0
879,Centro Cultural Eduardo Galeano,90.0,47.0
571,Centro Cultural Eduardo Galeano,s/d,370.0
483,Centro Cultural El Amor y la Igualdad ,s/d,257.0
919,Centro Cultural El Barro,s/d,390.0
376,Centro Cultural El Bastión,s/d,37.0
60,Centro Cultural El Cantaro,s/d,112.0
458,Centro Cultural El Faldón ,s/d,257.0
410,Centro Cultural El Galpón,s/d,152.0
957,Centro Cultural El Gaucho,35.0,191.0
374,Centro Cultural El Matute Cultural,80.0,37.0
485,Centro Cultural El Núcleo,s/d,257.0
104,Centro Cultural El Ph,150.0,112.0
275,Centro Cultural El Sueñero,60.0,112.0
43,Centro Cultural El Surco,100.0,112.0
280,Centro Cultural Ernesto Sabato,s/d,112.0
815,Centro Cultural Esmeralda ,s/d,33.0
744,Centro Cultural Espacio Maracuyá,s/d,419.0
432,Centro Cultural Espacios,65.0,203.0
662,Centro Cultural España Córdoba,s/d,76.0
913,Centro Cultural Estacion San Martín,s/d,78.0
457,Centro Cultural Estación Provincial,100.0,257.0
1061,Centro Cultural Esther Fadul,s/d,496.0
311,Centro Cultural Florentino Ameghino,200.0,37.0
62,Centro Cultural G.I.T.,s/d,112.0
787,Centro Cultural Galpón  ,s/d,164.0
672,Centro Cultural General Paz,70.0,76.0
889,Centro Cultural General San martin,s/d,200.0
373,Centro Cultural Giros,s/d,37.0
777,Centro Cultural Gloria Montoya,400.0,338.0
1037,Centro Cultural Gral. San Martin,s/d,384.0
41,Centro Cultural Gran Sur ,150.0,112.0
869,Centro Cultural Gregorio Alvarez,126.0,123.0
321,Centro Cultural Hogares La Paz,50.0,37.0
1032,Centro Cultural Homero Manzi,150.0,45.0
790,Centro Cultural Héctor Tizón,120.0,142.0
462,Centro Cultural Islas Malvinas ,s/d,257.0
821,Centro Cultural Israelita de Mendoza - Sala Ana Frank,60.0,81.0
605,Centro Cultural Itinerante El Musguito,s/d,469.0
507,Centro Cultural Jacarandá ,s/d,257.0
449,Centro Cultural Joaquín Areta ,s/d,257.0
795,Centro Cultural Jorge Cafrune,s/d,142.0
789,Centro Cultural Jose Maria Lesbegueris,s/d,357.0
618,Centro Cultural Juana Azurduy,s/d,487.0
375,Centro Cultural Juana Azurduy,70.0,37.0
542,Centro Cultural Julio Cesar Gioscio,s/d,310.0
491,Centro Cultural Julio López Los Hornos  ,s/d,257.0
318,Centro Cultural Justo Lynch,70.0,37.0
430,Centro Cultural La Bemba,s/d,203.0
764,Centro Cultural La Botica,60.0,116.0
350,Centro Cultural La Calle Larga,100.0,37.0
463,Centro Cultural La Carpintería ,s/d,257.0
619,Centro Cultural La Casa deTodos,s/d,487.0
313,Centro Cultural La Casa del Flaco,80.0,37.0
1039,Centro Cultural La Cocha ,s/d,251.0
320,Centro Cultural La Curtiembre,200.0,37.0
183,Centro Cultural La Estrada,s/d,112.0
543,Centro Cultural La Gotera,s/d,310.0
7,Centro Cultural La Grieta,s/d,112.0
776,Centro Cultural La Hendija,100.0,338.0
730,Centro Cultural La Mansión Fundación Tangara,80.0,80.0
798,Centro Cultural La Mar en Coche,100.0,142.0
948,Centro Cultural La Máscara,50.0,90.0
1011,Centro Cultural La Nave,s/d,397.0
382,Centro Cultural La Panadería,s/d,43.0
658,Centro Cultural La Piojera,s/d,76.0
734,Centro Cultural La Plaza,250.0,308.0
396,Centro Cultural La Rosa,s/d,70.0
361,Centro Cultural La Sociedad / Sociedad de Fomento y Cultura Manuel Ocampo,250.0,37.0
459,Centro Cultural La Vuelta de Obligado ,s/d,257.0
929,Centro Cultural La Vía,s/d,
853,Centro Cultural Ladislao Ziman,s/d,228.0
831,Centro Cultural Lagunita,s/d,220.0
305,Centro Cultural Lanza Sabaris,s/d,22.0
937,Centro Cultural Las Heras,s/d,139.0
1057,Centro Cultural Leandro N. Alem,s/d,383.0
843,Centro Cultural Leneas,s/d,71.0
392,Centro Cultural Leon F. Rigolleau,s/d,54.0
707,Centro Cultural Leonardo Favio,500.0,382.0
147,Centro Cultural Leopoldo Gonzalez,s/d,112.0
442,Centro Cultural Leopoldo Marechal,s/d,253.0
433,Centro Cultural Leopoldo Marechal,s/d,226.0
1050,Centro Cultural Leticia,s/d,82.0
944,Centro Cultural Linda Vista,s/d,261.0
340,Centro Cultural Lo de Alber,s/d,37.0
261,Centro Cultural Macedonia,s/d,112.0
236,Centro Cultural Maleza,s/d,112.0
404,Centro Cultural Malvinas Argentinas,s/d,148.0
17,Centro Cultural Mamita,450.0,112.0
22,Centro Cultural Manuel Ugarte,s/d,112.0
791,Centro Cultural Martin Fierro Del Complejo Educativos Jose Hernandez,999.0,142.0
714,Centro Cultural María Elena Walsh,s/d,422.0
827,Centro Cultural Matesis,s/d,210.0
405,Centro Cultural Mil Flores,s/d,148.0
898,Centro Cultural Minga,s/d,74.0
845,Centro Cultural Misiones  Vicente Cidade ,s/d,77.0
757,Centro Cultural Mujeres de la Patria,s/d,149.0
695,Centro Cultural Municipal,150.0,304.0
693,Centro Cultural Municipal,600.0,233.0
890,Centro Cultural Municipal,240.0,200.0
812,Centro Cultural Municipal,s/d,83.0
767,Centro Cultural Municipal,s/d,157.0
958,Centro Cultural Municipal,s/d,191.0
945,Centro Cultural Municipal,s/d,261.0
983,Centro Cultural Municipal Dante Alighieri,300.0,267.0
687,Centro Cultural Municipal El Parque,70.0,115.0
771,Centro Cultural Municipal Juan L. Ortiz,s/d,338.0
550,Centro Cultural Municipal Poeta Enrique Uza,s/d,
943,Centro Cultural Municipal Renato Nestiero Maré,s/d,221.0
949,Centro Cultural Municipal Sala Sociedad Italiana,270.0,90.0
793,Centro Cultural Municipal Éxodo Jujeño,279.0,142.0
168,Centro Cultural No Me Olvides,s/d,112.0
954,Centro Cultural Norberto J. Luppi,s/d,125.0
353,Centro Cultural Nosotros Somos Ellos,s/d,37.0
156,Centro Cultural Nuestra América,s/d,112.0
1063,Centro Cultural Nueva Argentina,s/d,496.0
371,Centro Cultural Nueva Esperanza,50.0,37.0
357,Centro Cultural Nueva Esperanza 2000 ,500.0,37.0
279,Centro Cultural Nueva Uriarte,130.0,112.0
465,Centro Cultural Ojalá ,s/d,257.0
416,Centro Cultural Osvaldo Soriano (Ex J. M. De Pueyrredón),s/d,199.0
989,Centro Cultural PAR,s/d,397.0
438,Centro Cultural Paceño Asociación Civil,s/d,240.0
799,Centro Cultural Pachakute,s/d,142.0
1004,Centro Cultural Parque Alem,s/d,397.0
1018,Centro Cultural Parque España - CCPE/AECI,500.0,397.0
830,Centro Cultural Pascual Lauriente,200.0,220.0
669,Centro Cultural Paseo de las Artes,80.0,76.0
903,Centro Cultural Pata Pila,s/d,74.0
319,Centro Cultural Patas Arriba,150.0,37.0
643,Centro Cultural Patria Grande ,s/d,75.0
93,Centro Cultural Plan B,250.0,112.0
425,Centro Cultural Plaza,s/d,203.0
297,Centro Cultural Poeta Barbieri,s/d,20.0
569,Centro Cultural Polaridades,s/d,370.0
634,Centro Cultural Policarpo,s/d,26.0
697,Centro Cultural Polivalente Eva Perón,600.0,315.0
763,Centro Cultural Político y Social Espacio Abierto Nunca Menos,s/d,116.0
761,Centro Cultural Provincial ,s/d,376.0
973,Centro Cultural Provincial Francisco Paco Urondo,800.0,250.0
863,Centro Cultural Provincial Juan Bautista Alberdi,s/d,123.0
928,Centro Cultural Puente Blanco,393.0,
933,Centro Cultural Puente Blanco- Sala Hugo del Carril,s/d,
882,Centro Cultural Puentes,s/d,47.0
360,Centro Cultural Quinta Galli Este,100.0,37.0
8,Centro Cultural Raices,60.0,112.0
593,Centro Cultural Raices,s/d,437.0
704,Centro Cultural Raices Soberanas,s/d,366.0
612,Centro Cultural Raíces Compañeras,150.0,487.0
160,Centro Cultural Recoleta,s/d,112.0
137,Centro Cultural Richards,s/d,112.0
1013,Centro Cultural Roberto Fontanarrosa,s/d,397.0
976,Centro Cultural Roma,250.0,250.0
581,Centro Cultural Roque Perez,s/d,396.0
920,Centro Cultural San Francisco Del Monte de Oro,s/d,41.0
258,Centro Cultural San Martin,s/d,112.0
677,Centro Cultural San Vicente,150.0,76.0
727,Centro Cultural Siete Corrientes - Sala Flotante -,60.0,80.0
1023,Centro Cultural Soc. Italiana,300.0,417.0
486,Centro Cultural Social y Político Olga Vázquez ,s/d,257.0
196,Centro Cultural Sofía Gempel Arte,s/d,112.0
419,Centro Cultural Taller Lascano,s/d,199.0
533,Centro Cultural Teatro El Refugio,120.0,286.0
157,Centro Cultural Teatro Fray Mocho,98.0,112.0
926,Centro Cultural Tecla Funes ,s/d,
1031,Centro Cultural Telesita,s/d,45.0
654,Centro Cultural Tinku Arte,s/d,76.0
72,Centro Cultural Traicionalista El Fortin De Celia Rocha,s/d,112.0
506,Centro Cultural Trémula ,s/d,257.0
347,Centro Cultural Un Grito de Corazón,150.0,37.0
216,Centro Cultural Vamos A Andar,s/d,112.0
1024,Centro Cultural Videla,80.0,427.0
502,Centro Cultural Viejo Almacén El Obrero,s/d,257.0
656,Centro Cultural Villa el Libertador,100.0,76.0
397,Centro Cultural Volver,s/d,72.0
1056,Centro Cultural Yaganes,s/d,383.0
296,Centro Cultural de Adolfo Alsina,s/d,15.0
299,Centro Cultural de Adrogue - Sala Bárbara Mujica,130.0,22.0
859,Centro Cultural de Cultral Co,700.0,123.0
204,Centro Cultural de España en Buenos Aires,s/d,112.0
1019,Centro Cultural de La Toma,s/d,397.0
834,Centro Cultural de Uspallata ,s/d,269.0
89,Centro Cultural de la Cooperación - CCC -,583.0,112.0
95,Centro Cultural de la Memoria Haroldo Conti,s/d,112.0
788,Centro Cultural del Mercado,s/d,164.0
556,Centro Cultural y Biblioteca Popular Enrique Santos Discépolo,s/d,325.0
428,Centro Cultural y Biblioteca Popular la Carcova,s/d,203.0
424,Centro Cultural y Deportivo los Amigos de Villa Sarmiento,s/d,203.0
492,Centro Cultural y Polideportivo Los Hornos,s/d,257.0
717,Centro Cultural y Recreativo,450.0,426.0
968,Centro Cultural y Recreativo Alto Verde,s/d,250.0
972,Centro Cultural y Social El Birri,s/d,250.0
525,Centro Cultural y Social No Me Olvides,s/d,286.0
548,Centro Cultural y Social Patas para Arriba,s/d,312.0
431,Centro Cultural y artístico Ana Pavlova,s/d,203.0
775,Centro Cultural y de Convenciones La Vieja Usina,450.0,338.0
468,Centro Cultural Área Chica ,s/d,257.0
760,Centro Cultural “Franco Venturi”,s/d,376.0
987,Centro Cultural. Pueblo Esther,s/d,397.0
657,Centro De Arte Contemporáneo  C.A.C,s/d,76.0
702,Centro Holístico Allá Arriba,70.0,366.0
538,Centro Integrador Comunitario en el  Barrio Santo Domingo,100.0,297.0
1033,Centro Intercultural de Ecología Social (CIES),s/d,84.0
58,Centro Kultural Trivenchi,200.0,112.0
893,Centro Municipal de Arte CEMAR,300.0,200.0
365,Centro Municipal de Arte de Avellaneda  CMA,500.0,37.0
895,Centro Municipal de Cultura,300.0,410.0
583,Centro Municipal de Cultura S.A Giles,s/d,408.0
518,Centro Nativo Acuyai,s/d,285.0
294,Centro Politico Cultural El Hormiguero,150.0,112.0
446,Centro Recreativo Intercultural de Artes Crisoles,s/d,257.0
516,Centro Recreativo y Cultural Villa Raffo,s/d,257.0
850,Centro Social y Cultural Paraguayo,s/d,146.0
584,Centro cultural Casa Evita,s/d,408.0
386,Centro cultural Evita,s/d,43.0
918,"Centro cultural Raúl Carrizo ""La Fraternidad""",s/d,108.0
448,Centro cultural de buena madera,s/d,257.0
737,Centro cultural “La Flota”,200.0,419.0
747,Centro de Cultura Popular CECUPO,s/d,419.0
647,Centro de Cultura y Trabajo Comunitario  Villa Dolores,s/d,501.0
443,Centro de Estudios Sociales y Culturales La Locomotora,s/d,265.0
534,Centro de Estudios Teatrales y Artísticos C.E.T.A.,s/d,286.0
873,Centro de Iniciacion Artistica,s/d,260.0
309,Centro de Participación Comunitaria del Suburbio,s/d,22.0
159,Chana - Usina Juan Gelman,s/d,112.0
286,Chau Che Clu,300.0,112.0
146,Chela,s/d,112.0
986,Ciclo Cultural Arte Viva,150.0,267.0
720,Cineclub Casero,s/d,451.0
886,Circulo Comunitario Italo - Argentino,80.0,122.0
884,Circópolis Centro Cultural,s/d,47.0
260,Ciudad Cultural Konex,2380.0,112.0
500,Ciudad Vieja,s/d,257.0
214,Clasico Fernandez,72.0,112.0
16,Club 921,300.0,112.0
701,Club Alemán ASCA,250.0,366.0
1000,Club Argentino Brasileño,s/d,397.0
591,Club Artístico y Social Arenga,s/d,421.0
560,Club Atlético Hinojo,280.0,334.0
265,Club Boddah,s/d,112.0
476,Club Cultural Casa Unclan,180.0,257.0
